,Unnamed: 0_x,Category,Series Name,Series Code_x,Unnamed: 0_y,Series Code_y
9,27,Environment,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,621,EN.ATM.GHGT.KT.CE
17,42,Environment,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,370,SH.STA.POIS.P5.MA
22,53,Environment,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,360,NY.GDP.MINR.RT.ZS
26,59,Environment,Access to electricity (% of population),EG.ELC.ACCS.ZS,3,EG.ELC.ACCS.ZS
57,119,Environment,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,12,NY.ADJ.DKAP.GN.ZS
73,146,Environment,Total fisheries production (metric tons),ER.FSH.PROD.MT,620,ER.FSH.PROD.MT
83,163,Environment,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,2,EG.CFT.ACCS.UR.ZS
97,189,Environment,Forest area (sq. km),AG.LND.FRST.K2,175,AG.LND.FRST.K2
98,190,Environment,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,138,EG.EGY.PRIM.PP.KD
106,207,Environment,People practicing open defecation (% of population),SH.STA.ODFC.ZS,427,SH.STA.ODFC.ZS
110,213,Environment,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,51,ER.H2O.FWTL.K3
128,246,Environment,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,49,ER.H2O.FWIN.ZS
129,247,Environment,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,50,ER.H2O.FWTL.ZS
130,249,Environment,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,17,NY.ADJ.DNGY.CD
133,253,Environment,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,34,EN.ATM.NOXE.AG.KT.CE
145,278,Environment,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0,EG.CFT.ACCS.ZS
149,283,Environment,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,431,SH.H2O.BASW.RU.ZS
158,302,Environment,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,432,SH.H2O.BASW.UR.ZS
165,317,Environment,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,428,SH.STA.ODFC.RU.ZS
187,356,Environment,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,550,EG.ELC.RNEW.ZS
223,421,Environment,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,430,SH.H2O.BASW.ZS
244,471,Environment,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,13,NY.ADJ.DKAP.CD
263,518,Environment,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,8,NY.ADJ.SVNX.GN.ZS
266,529,Environment,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,63,ER.FSH.CAPT.MT
284,581,Environment,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,48,ER.H2O.FWDM.ZS
289,594,Environment,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,429,SH.STA.ODFC.UR.ZS
291,596,Environment,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,551,EG.FEC.RNEW.ZS
297,607,Environment,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,435,SH.STA.BASS.UR.ZS
308,633,Environment,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,68,EN.ATM.CO2E.KD.GD
316,645,Environment,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,19,NY.ADJ.DMIN.GN.ZS
320,652,Environment,Aquaculture production (metric tons),ER.FSH.AQUA.MT,52,ER.FSH.AQUA.MT
338,711,Environment,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,660,ER.GDP.FWTL.M3.KD
346,721,Environment,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,420,NY.GDP.PETR.RT.ZS
348,725,Environment,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,355,EN.ATM.METH.KT.CE
350,727,Environment,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,433,SH.STA.BASS.ZS
393,813,Environment,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,47,ER.H2O.FWAG.ZS
399,830,Environment,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,409,EN.ATM.NOXE.KT.CE
414,858,Environment,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,553,ER.H2O.INTR.K3
415,860,Environment,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,77,EN.ATM.CO2E.SF.ZS
420,870,Environment,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,410,EN.ATM.NOXE.EG.KT.CE
426,885,Environment,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,11,NY.ADJ.DCO2.CD
436,909,Environment,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,436,SH.STA.SMSS.ZS
444,923,Environment,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,74,EN.ATM.CO2E.GF.KT
451,939,Environment,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,15,NY.ADJ.AEDU.CD
452,942,Environment,CO2 emissions (kt),EN.ATM.CO2E.KT,71,EN.ATM.CO2E.KT
453,943,Environment,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,356,EN.ATM.METH.EG.KT.CE
471,981,Environment,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,16,NY.ADJ.DNGY.GN.ZS
506,1046,Environment,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,20,NY.ADJ.DMIN.CD
542,1136,Environment,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,1,EG.CFT.ACCS.RU.ZS
546,1146,Environment,Arable land (% of land area),AG.LND.ARBL.ZS,53,AG.LND.ARBL.ZS
560,1168,Environment,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,368,SH.STA.POIS.P5
563,1171,Environment,Agricultural land (% of land area),AG.LND.AGRI.ZS,31,AG.LND.AGRI.ZS
571,1195,Environment,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,26,NY.ADJ.DPEM.CD
574,1200,Environment,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,72,EN.ATM.CO2E.PC
577,1206,Environment,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,70,EN.ATM.CO2E.PP.GD
600,1261,Environment,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,369,SH.STA.POIS.P5.FE
608,1275,Environment,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,10,NY.ADJ.DCO2.GN.ZS
620,1304,Environment,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,22,NY.ADJ.DFOR.GN.ZS
635,1326,Environment,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,24,NY.ADJ.NNAT.GN.ZS
648,1355,Environment,Forest area (% of land area),AG.LND.FRST.ZS,174,AG.LND.FRST.ZS
650,1362,Environment,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,380,NY.GDP.NGAS.RT.ZS
657,1377,Environment,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,73,EN.ATM.CO2E.GF.ZS
676,1427,Environment,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,25,NY.ADJ.DPEM.GN.ZS
677,1428,Environment,Surface area (sq. km),AG.SRF.TOTL.K2,605,AG.SRF.TOTL.K2
681,1437,Environment,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,176,NY.GDP.FRST.RT.ZS
682,1439,Environment,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,552,ER.H2O.INTR.PC
684,1447,Environment,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,434,SH.STA.BASS.RU.ZS
685,1449,Environment,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,18,NY.ADJ.ICTR.GN.ZS
688,1453,Environment,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,78,EN.ATM.CO2E.SF.KT
694,1467,Environment,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,79,NY.GDP.COAL.RT.ZS
695,1468,Environment,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,9,NY.ADJ.SVNG.GN.ZS
705,1491,Environment,Land area (sq. km),AG.LND.TOTL.K2,310,AG.LND.TOTL.K2
709,1498,Environment,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,622,NY.GDP.TOTL.RT.ZS
718,1515,Environment,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,76,EN.ATM.CO2E.LF.KT
728,1537,Environment,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,23,NY.ADJ.DFOR.CD
730,1541,Environment,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,14,NY.ADJ.AEDU.GN.ZS
742,1567,Environment,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,33,EN.ATM.METH.AG.KT.CE
745,1573,Environment,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,69,EN.ATM.CO2E.PP.GD.KD
746,1575,Environment,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,75,EN.ATM.CO2E.LF.ZS
